基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
011182,长盛成长龙头混合C,混合型-偏股,CSCZLTHHC,CHANGSHENGCHENGZHANGLONGTOUHUNHEC,
011183,广发内需增长混合C,混合型-灵活,GFNXZZHHC,GUANGFANEIXUZENGZHANGHUNHEC,
011184,东方阿尔法招阳混合A,混合型-偏股,DFAEFZYHHA,DONGFANGAERFAZHAOYANGHUNHEA,
011185,东方阿尔法招阳混合C,混合型-偏股,DFAEFZYHHC,DONGFANGAERFAZHAOYANGHUNHEC,
011186,信澳至诚精选混合A,混合型-偏股,XAZCJXHHA,XINAOZHICHENGJINGXUANHUNHEA,
011187,中加穗盈纯债债券,债券型-长债,ZJSYCZZQ,ZHONGJIASUIYINGCHUNZHAIZHAIQUAN,
011188,信澳星奕混合A,混合型-偏股,XAXYHHA,XINAOXINGYIHUNHEA,
011189,建信智汇优选一年持有期混合(MOM),混合型-偏股,JXZHYXYNCYQHHMOM,JIANXINZHIHUIYOUXUANYINIANCHIYOUQIHUNHEMOM,
011190,招商瑞安1年持有期混合A,混合型-偏债,ZSRA1NCYQHHA,ZHAOSHANGRUIAN1NIANCHIYOUQIHUNHEA,
011191,招商瑞安1年持有期混合C,混合型-偏债,ZSRA1NCYQHHC,ZHAOSHANGRUIAN1NIANCHIYOUQIHUNHEC,
011192,广发恒荣三个月持有期混合A,混合型-偏债,GFHRSGYCYQHHA,GUANGFAHENGRONGSANGEYUECHIYOUQIHUNHEA,
011193,广发恒荣三个月持有期混合C,混合型-偏债,GFHRSGYCYQHHC,GUANGFAHENGRONGSANGEYUECHIYOUQIHUNHEC,
011194,广发睿铭两年持有期混合A,混合型-偏股,GFRMLNCYQHHA,GUANGFARUIMINGLIANGNIANCHIYOUQIHUNHEA,
011195,广发睿铭两年持有期混合C,混合型-偏股,GFRMLNCYQHHC,GUANGFARUIMINGLIANGNIANCHIYOUQIHUNHEC,
011196,摩根优势成长混合A,混合型-偏股,MGYSCZHHA,MOGENYOUSHICHENGZHANGHUNHEA,
011197,摩根优势成长混合C,混合型-偏股,MGYSCZHHC,MOGENYOUSHICHENGZHANGHUNHEC,
011200,建信现金增利货币C,货币型-普通货币,JXXJZLHBC,JIANXINXIANJINZENGLIHUOBIC,
011201,财通优势行业轮动混合A,混合型-偏股,CTYSHYLDHHA,CAITONGYOUSHIHANGYELUNDONGHUNHEA,
011202,财通优势行业轮动混合C,混合型-偏股,CTYSHYLDHHC,CAITONGYOUSHIHANGYELUNDONGHUNHEC,
011203,永赢惠添益混合A,混合型-偏股,YYHTYHHA,YONGYINGHUITIANYIHUNHEA,
011204,永赢惠添益混合C,混合型-偏股,YYHTYHHC,YONGYINGHUITIANYIHUNHEC,
011205,兴银中证500指数增强C,指数型-股票,XYZZ500ZSZQC,XINGYINZHONGZHENG500ZHISHUZENGQIANGC,
011206,创金合信竞争优势混合A,混合型-偏股,CJHXJZYSHHA,CHUANGJINHEXINJINGZHENGYOUSHIHUNHEA,
011207,创金合信竞争优势混合C,混合型-偏股,CJHXJZYSHHC,CHUANGJINHEXINJINGZHENGYOUSHIHUNHEC,
011208,泰康招享混合A,混合型-偏债,TKZXHHA,TAIKANGZHAOXIANGHUNHEA,
011209,泰康招享混合C,混合型-偏债,TKZXHHC,TAIKANGZHAOXIANGHUNHEC,
011212,富国稳健策略6个月持有混合A,混合型-偏股,FGWJCL6GYCYHHA,FUGUOWENJIANCELUE6GEYUECHIYOUHUNHEA,
011213,富国稳健策略6个月持有混合C,混合型-偏股,FGWJCL6GYCYHHC,FUGUOWENJIANCELUE6GEYUECHIYOUHUNHEC,
011216,南方优质企业混合A,混合型-偏股,NFYZQYHHA,NANFANGYOUZHIQIYEHUNHEA,
011217,南方优质企业混合C,混合型-偏股,NFYZQYHHC,NANFANGYOUZHIQIYEHUNHEC,
011220,南方匠心优选股票A,股票型,NFJXYXGPA,NANFANGJIANGXINYOUXUANGUPIAOA,
011221,南方匠心优选股票C,股票型,NFJXYXGPC,NANFANGJIANGXINYOUXUANGUPIAOC,
011222,建信现金添益货币C,货币型-普通货币,JXXJTYHBC,JIANXINXIANJINTIANYIHUOBIC,
011223,信澳星奕混合C,混合型-偏股,XAXYHHC,XINAOXINGYIHUNHEC,
011224,九泰盈泰量化股票A,股票型,JTYTLHGPA,JIUTAIYINGTAILIANGHUAGUPIAOA,
011225,九泰盈泰量化股票C,股票型,JTYTLHGPC,JIUTAIYINGTAILIANGHUAGUPIAOC,
011228,西部利得量化成长混合C,混合型-偏股,XBLDLHCZHHC,XIBULIDELIANGHUACHENGZHANGHUNHEC,
011229,创金合信数字经济主题股票A,股票型,CJHXSZJJZTGPA,CHUANGJINHEXINSHUZIJINGJIZHUTIGUPIAOA,
011230,创金合信数字经济主题股票C,股票型,CJHXSZJJZTGPC,CHUANGJINHEXINSHUZIJINGJIZHUTIGUPIAOC,
011231,光大锦弘混合A,混合型-偏债,GDJHHHA,GUANGDAJINHONGHUNHEA,
011232,光大锦弘混合C,混合型-偏债,GDJHHHC,GUANGDAJINHONGHUNHEC,
011233,泰康福泰平衡养老三年持有混合(FOF)A,FOF-均衡型,TKFTPHYLSNCYHHFOFA,TAIKANGFUTAIPINGHENGYANGLAOSANNIANCHIYOUHUNHEFOFA,
011234,宏利中债1-5年国开债指数A,指数型-固收,HLZZ15NGKZZSA,HONGLIZHONGZHAI15NIANGUOKAIZHAIZHISHUA,
011235,宏利中债1-5年国开债指数C,指数型-固收,HLZZ15NGKZZSC,HONGLIZHONGZHAI15NIANGUOKAIZHAIZHISHUC,
011236,摩根行业睿选股票A,股票型,MGHYRXGPA,MOGENHANGYERUIXUANGUPIAOA,
011237,摩根行业睿选股票C,股票型,MGHYRXGPC,MOGENHANGYERUIXUANGUPIAOC,
011238,华安聚恒精选混合A,混合型-偏股,HAJHJXHHA,HUAANJUHENGJINGXUANHUNHEA,
011239,华安聚恒精选混合C,混合型-偏股,HAJHJXHHC,HUAANJUHENGJINGXUANHUNHEC,
011240,东吴行业轮动混合C,混合型-偏股,DWHYLDHHC,DONGWUHANGYELUNDONGHUNHEC,
011241,东吴双动力混合C,混合型-偏股,DWSDLHHC,DONGWUSHUANGDONGLIHUNHEC,
011242,东吴进取策略混合C,混合型-灵活,DWJQCLHHC,DONGWUJINQUCELUEHUNHEC,
011243,万家惠裕回报6个月持有期混合A,混合型-偏债,WJHYHB6GYCYQHHA,WANJIAHUIYUHUIBAO6GEYUECHIYOUQIHUNHEA,
011244,万家惠裕回报6个月持有期混合C,混合型-偏债,WJHYHB6GYCYQHHC,WANJIAHUIYUHUIBAO6GEYUECHIYOUQIHUNHEC,
011245,中加瑞享纯债债券C,债券型-长债,ZJRXCZZQC,ZHONGJIARUIXIANGCHUNZHAIZHAIQUANC,
011246,嘉实阿尔法优选混合A,混合型-偏股,JSAEFYXHHA,JIASHIAERFAYOUXUANHUNHEA,
011247,嘉实阿尔法优选混合C,混合型-偏股,JSAEFYXHHC,JIASHIAERFAYOUXUANHUNHEC,
011248,嘉实品质回报混合,混合型-偏股,JSPZHBHH,JIASHIPINZHIHUIBAOHUNHE,
011249,嘉实稳裕混合A,混合型-偏债,JSWYHHA,JIASHIWENYUHUNHEA,
011250,嘉实稳裕混合C,混合型-偏债,JSWYHHC,JIASHIWENYUHUNHEC,
011251,华安聚嘉精选混合A,混合型-偏股,HAJJJXHHA,HUAANJUJIAJINGXUANHUNHEA,
011252,华安聚嘉精选混合C,混合型-偏股,HAJJJXHHC,HUAANJUJIAJINGXUANHUNHEC,
011256,交银鸿光一年混合A,混合型-偏债,JYHGYNHHA,JIAOYINHONGGUANGYINIANHUNHEA,
011257,交银鸿光一年混合C,混合型-偏债,JYHGYNHHC,JIAOYINHONGGUANGYINIANHUNHEC,
011258,招商保证金快线D,货币型-普通货币,ZSBZJKXD,ZHAOSHANGBAOZHENGJINKUAIXIAND,
011259,汇添富高质量成长30一年混合C,混合型-偏股,HTFGZLCZ30YNHHC,HUITIANFUGAOZHILIANGCHENGZHANG30YINIANHUNHEC,
011260,金鹰新能源混合A,混合型-偏股,JYXNYHHA,JINYINGXINNENGYUANHUNHEA,
011261,金鹰新能源混合C,混合型-偏股,JYXNYHHC,JINYINGXINNENGYUANHUNHEC,
011262,华夏鼎英债券A,债券型-长债,HXDYZQA,HUAXIADINGYINGZHAIQUANA,
011263,华夏鼎英债券C,债券型-长债,HXDYZQC,HUAXIADINGYINGZHAIQUANC,
011264,中欧新趋势混合X,混合型-偏股,ZOXQSHHX,ZHONGOUXINQUSHIHUNHEX,
011267,长盛鑫盛稳健一年持有A,混合型-偏债,CSXSWJYNCYA,CHANGSHENGXINSHENGWENJIANYINIANCHIYOUA,
011268,长盛鑫盛稳健一年持有C,混合型-偏债,CSXSWJYNCYC,CHANGSHENGXINSHENGWENJIANYINIANCHIYOUC,
011269,中银证券优势制造股票A,股票型,ZYZQYSZZGPA,ZHONGYINZHENGQUANYOUSHIZHIZAOGUPIAOA,
011270,中银证券优势制造股票C,股票型,ZYZQYSZZGPC,ZHONGYINZHENGQUANYOUSHIZHIZAOGUPIAOC,
011271,汇添富价值成长均衡投资混合A,混合型-偏股,HTFJZCZJHTZHHA,HUITIANFUJIAZHICHENGZHANGJUNHENGTOUZIHUNHEA,
011272,汇添富价值成长均衡投资混合C,混合型-偏股,HTFJZCZJHTZHHC,HUITIANFUJIAZHICHENGZHANGJUNHENGTOUZIHUNHEC,
011273,泰信景气驱动12个月持有混合A,混合型-偏股,TXJQQD12GYCYHHA,TAIXINJINGQIQUDONG12GEYUECHIYOUHUNHEA,
011274,泰信景气驱动12个月持有混合C,混合型-偏股,TXJQQD12GYCYHHC,TAIXINJINGQIQUDONG12GEYUECHIYOUHUNHEC,
011275,交银成长动力一年持有混合A,混合型-偏股,JYCZDLYNCYHHA,JIAOYINCHENGZHANGDONGLIYINIANCHIYOUHUNHEA,
011276,交银成长动力一年持有混合C,混合型-偏股,JYCZDLYNCYHHC,JIAOYINCHENGZHANGDONGLIYINIANCHIYOUHUNHEC,
011277,上银科技驱动双周定期可赎回混合A,混合型-偏股,SYKJQDSZDQKSHHHA,SHANGYINKEJIQUDONGSHUANGZHOUDINGQIKESHUHUIHUNHEA,
011278,华夏内需驱动混合A,混合型-偏股,HXNXQDHHA,HUAXIANEIXUQUDONGHUNHEA,
011279,华夏内需驱动混合C,混合型-偏股,HXNXQDHHC,HUAXIANEIXUQUDONGHUNHEC,
011280,华宝双债增强债券A,债券型-混合二级,HBSZZQZQA,HUABAOSHUANGZHAIZENGQIANGZHAIQUANA,
011281,华宝双债增强债券C,债券型-混合二级,HBSZZQZQC,HUABAOSHUANGZHAIZENGQIANGZHAIQUANC,
011282,华夏消费龙头混合A,混合型-偏股,HXXFLTHHA,HUAXIAXIAOFEILONGTOUHUNHEA,
011283,华夏消费龙头混合C,混合型-偏股,HXXFLTHHC,HUAXIAXIAOFEILONGTOUHUNHEC,
011284,中信保诚龙腾精选混合,混合型-偏股,ZXBCLTJXHH,ZHONGXINBAOCHENGLONGTENGJINGXUANHUNHE,
011285,民生价值优选6个月持有股票A,股票型,MSJZYX6GYCYGPA,MINSHENGJIAZHIYOUXUAN6GEYUECHIYOUGUPIAOA,
011286,民生价值优选6个月持有股票C,股票型,MSJZYX6GYCYGPC,MINSHENGJIAZHIYOUXUAN6GEYUECHIYOUGUPIAOC,
011287,前海开源聚慧三年持有混合,混合型-偏股,QHKYJHSNCYHH,QIANHAIKAIYUANJUHUISANNIANCHIYOUHUNHE,
011288,上银医疗健康混合A,混合型-偏股,SYYLJKHHA,SHANGYINYILIAOJIANKANGHUNHEA,
011289,上银医疗健康混合C,混合型-偏股,SYYLJKHHC,SHANGYINYILIAOJIANKANGHUNHEC,
011290,前海联合添瑞一年持有混合A,混合型-偏债,QHLHTRYNCYHHA,QIANHAILIANHETIANRUIYINIANCHIYOUHUNHEA,
011291,前海联合添瑞一年持有混合C,混合型-偏债,QHLHTRYNCYHHC,QIANHAILIANHETIANRUIYINIANCHIYOUHUNHEC,
011292,招商添裕纯债D,债券型-长债,ZSTYCZD,ZHAOSHANGTIANYUCHUNZHAID,
011293,中金恒远一年持有期混合,混合型-偏债,ZJHYYNCYQHH,ZHONGJINHENGYUANYINIANCHIYOUQIHUNHE,
011294,招商添逸1年定开债券发起式,债券型-长债,ZSTY1NDKZQFQS,ZHAOSHANGTIANYI1NIANDINGKAIZHAIQUANFAQISHI,
011295,中信保诚量化阿尔法股票C,股票型,ZXBCLHAEFGPC,ZHONGXINBAOCHENGLIANGHUAAERFAGUPIAOC,
011296,汇添富优势行业一年持有混合A,混合型-偏股,HTFYSHYYNCYHHA,HUITIANFUYOUSHIHANGYEYINIANCHIYOUHUNHEA,
011297,汇添富优势行业一年持有混合C,混合型-偏股,HTFYSHYYNCYHHC,HUITIANFUYOUSHIHANGYEYINIANCHIYOUHUNHEC,
011298,易方达悦安一年持有债券A,债券型-混合二级,YFDYAYNCYZQA,YIFANGDAYUEANYINIANCHIYOUZHAIQUANA,
011299,易方达悦安一年持有债券C,债券型-混合二级,YFDYAYNCYZQC,YIFANGDAYUEANYINIANCHIYOUZHAIQUANC,
011300,易方达智造优势混合A,混合型-偏股,YFDZZYSHHA,YIFANGDAZHIZAOYOUSHIHUNHEA,
011301,易方达智造优势混合C,混合型-偏股,YFDZZYSHHC,YIFANGDAZHIZAOYOUSHIHUNHEC,
011302,易方达悦盈一年持有混合A,混合型-偏债,YFDYYYNCYHHA,YIFANGDAYUEYINGYINIANCHIYOUHUNHEA,
011303,易方达悦盈一年持有混合C,混合型-偏债,YFDYYYNCYHHC,YIFANGDAYUEYINGYINIANCHIYOUHUNHEC,
011304,工银创新成长混合A,混合型-偏股,GYCXCZHHA,GONGYINCHUANGXINCHENGZHANGHUNHEA,
011305,工银创新成长混合C,混合型-偏股,GYCXCZHHC,GONGYINCHUANGXINCHENGZHANGHUNHEC,
011306,富国低碳新经济混合C,混合型-偏股,FGDTXJJHHC,FUGUODITANXINJINGJIHUNHEC,
011307,富国天益价值混合C,混合型-灵活,FGTYJZHHC,FUGUOTIANYIJIAZHIHUNHEC,
011308,富国生物医药科技混合C,混合型-偏股,FGSWYYKJHHC,FUGUOSHENGWUYIYAOKEJIHUNHEC,
011309,富国消费主题混合C,混合型-偏股,FGXFZTHHC,FUGUOXIAOFEIZHUTIHUNHEC,
011310,国联恒阳纯债A,债券型-长债,GLHYCZA,GUOLIANHENGYANGCHUNZHAIA,
011311,国联恒阳纯债C,债券型-长债,GLHYCZC,GUOLIANHENGYANGCHUNZHAIC,
011312,东方红启瑞三年持有混合B,混合型-灵活,DFHQRSNCYHHB,DONGFANGHONGQIRUISANNIANCHIYOUHUNHEB,
011313,东方红启华三年持有混合B,混合型-偏股,DFHQHSNCYHHB,DONGFANGHONGQIHUASANNIANCHIYOUHUNHEB,
011314,农银创新成长混合,混合型-偏股,NYCXCZHH,NONGYINCHUANGXINCHENGZHANGHUNHE,
011315,永赢港股通优质成长一年混合,混合型-偏股,YYGGTYZCZYNHH,YONGYINGGANGGUTONGYOUZHICHENGZHANGYINIANHUNHE,
011316,天弘创业板300ETF发起式联接A,指数型-股票,THCYB300ETFFQSLJA,TIANHONGCHUANGYEBAN300ETFFAQISHILIANJIEA,
011317,天弘创业板300ETF发起式联接C,指数型-股票,THCYB300ETFFQSLJC,TIANHONGCHUANGYEBAN300ETFFAQISHILIANJIEC,
011319,国泰上证综合ETF联接A,指数型-股票,GTSZZHETFLJA,GUOTAISHANGZHENGZONGHEETFLIANJIEA,
011320,国泰上证综合ETF联接C,指数型-股票,GTSZZHETFLJC,GUOTAISHANGZHENGZONGHEETFLIANJIEC,
011321,国泰大健康股票C,股票型,GTDJKGPC,GUOTAIDAJIANKANGGUPIAOC,
011322,国泰智能装备股票C,股票型,GTZNZBGPC,GUOTAIZHINENGZHUANGBEIGUPIAOC,
011323,国泰智能汽车股票C,股票型,GTZNQCGPC,GUOTAIZHINENGQICHEGUPIAOC,
011324,国泰价值精选灵活配置混合C,混合型-灵活,GTJZJXLHPZHHC,GUOTAIJIAZHIJINGXUANLINGHUOPEIZHIHUNHEC,
011325,国泰江源优势精选混合C,混合型-灵活,GTJYYSJXHHC,GUOTAIJIANGYUANYOUSHIJINGXUANHUNHEC,
011326,国泰医药健康股票C,股票型,GTYYJKGPC,GUOTAIYIYAOJIANKANGGUPIAOC,
011327,太平丰盈一年定开债券发起式,债券型-混合二级,TPFYYNDKZQFQS,TAIPINGFENGYINGYINIANDINGKAIZHAIQUANFAQISHI,
011328,景顺长城新能源产业股票A,股票型,JSCCXNYCYGPA,JINGSHUNCHANGCHENGXINNENGYUANCHANYEGUPIAOA,
011329,景顺长城新能源产业股票C,股票型,JSCCXNYCYGPC,JINGSHUNCHANGCHENGXINNENGYUANCHANYEGUPIAOC,
011330,鹏华精选群英一年持有混合MOM,混合型-灵活,PHJXQYYNCYHHMOM,PENGHUAJINGXUANQUNYINGYINIANCHIYOUHUNHEMOM,
011331,鹏华远见成长混合A,混合型-偏股,PHYJCZHHA,PENGHUAYUANJIANCHENGZHANGHUNHEA,
011332,鹏华远见成长混合C,混合型-偏股,PHYJCZHHC,PENGHUAYUANJIANCHENGZHANGHUNHEC,
011333,鹏华品质优选混合A,混合型-偏股,PHPZYXHHA,PENGHUAPINZHIYOUXUANHUNHEA,
011334,鹏华品质优选混合C,混合型-偏股,PHPZYXHHC,PENGHUAPINZHIYOUXUANHUNHEC,
011335,银河医药混合A,混合型-偏股,YHYYHHA,YINHEYIYAOHUNHEA,
011336,兴全汇吉一年持有混合A,混合型-偏债,XQHJYNCYHHA,XINGQUANHUIJIYINIANCHIYOUHUNHEA,
011337,兴全汇吉一年持有混合C,混合型-偏债,XQHJYNCYHHC,XINGQUANHUIJIYINIANCHIYOUHUNHEC,
011338,兴全合远两年持有混合A,混合型-偏股,XQHYLNCYHHA,XINGQUANHEYUANLIANGNIANCHIYOUHUNHEA,
011339,兴全合远两年持有混合C,混合型-偏股,XQHYLNCYHHC,XINGQUANHEYUANLIANGNIANCHIYOUHUNHEC,
011340,博时战略新材料主题混合A,混合型-偏股,BSZLXCLZTHHA,BOSHIZHANLUEXINCAILIAOZHUTIHUNHEA,
011341,博时战略新材料主题混合C,混合型-偏股,BSZLXCLZTHHC,BOSHIZHANLUEXINCAILIAOZHUTIHUNHEC,
011344,景顺长城融景一年持有混合A,混合型-偏股,JSCCRJYNCYHHA,JINGSHUNCHANGCHENGRONGJINGYINIANCHIYOUHUNHEA,
011345,景顺长城融景一年持有混合C,混合型-偏股,JSCCRJYNCYHHC,JINGSHUNCHANGCHENGRONGJINGYINIANCHIYOUHUNHEC,
011346,淳厚鑫淳一年持有混合,混合型-偏股,CHXCYNCYHH,CHUNHOUXINCHUNYINIANCHIYOUHUNHE,
011347,易方达宁易一年持有混合A,混合型-偏债,YFDNYYNCYHHA,YIFANGDANINGYIYINIANCHIYOUHUNHEA,
011348,易方达宁易一年持有混合C,混合型-偏债,YFDNYYNCYHHC,YIFANGDANINGYIYINIANCHIYOUHUNHEC,
011349,淳厚现代服务业股票A,股票型,CHXDFWYGPA,CHUNHOUXIANDAIFUWUYEGUPIAOA,
011350,淳厚现代服务业股票C,股票型,CHXDFWYGPC,CHUNHOUXIANDAIFUWUYEGUPIAOC,
011351,金鹰年年邮益一年持有混合A,混合型-偏债,JYNNYYYNCYHHA,JINYINGNIANNIANYOUYIYINIANCHIYOUHUNHEA,
011352,金鹰年年邮益一年持有混合C,混合型-偏债,JYNNYYYNCYHHC,JINYINGNIANNIANYOUYIYINIANCHIYOUHUNHEC,
011353,国联景盛一年持有混合A,混合型-偏债,GLJSYNCYHHA,GUOLIANJINGSHENGYINIANCHIYOUHUNHEA,
011354,国联景盛一年持有混合C,混合型-偏债,GLJSYNCYHHC,GUOLIANJINGSHENGYINIANCHIYOUHUNHEC,
011355,华泰柏瑞港股通时代机遇混合A,混合型-偏股,HTBRGGTSDJYHHA,HUATAIBAIRUIGANGGUTONGSHIDAIJIYUHUNHEA,
011356,华泰柏瑞港股通时代机遇混合C,混合型-偏股,HTBRGGTSDJYHHC,HUATAIBAIRUIGANGGUTONGSHIDAIJIYUHUNHEC,
011357,华泰柏瑞品质成长混合A,混合型-偏股,HTBRPZCZHHA,HUATAIBAIRUIPINZHICHENGZHANGHUNHEA,
011358,华泰柏瑞品质成长混合C,混合型-偏股,HTBRPZCZHHC,HUATAIBAIRUIPINZHICHENGZHANGHUNHEC,
011363,南方兴润价值一年持有混合A,混合型-灵活,NFXRJZYNCYHHA,NANFANGXINGRUNJIAZHIYINIANCHIYOUHUNHEA,
011364,南方兴润价值一年持有混合C,混合型-灵活,NFXRJZYNCYHHC,NANFANGXINGRUNJIAZHIYINIANCHIYOUHUNHEC,
011367,创金合信群力一年定期开放混合(MOM)A,混合型-偏股,CJHXQLYNDQKFHHMOMA,CHUANGJINHEXINQUNLIYINIANDINGQIKAIFANGHUNHEMOMA,
011368,创金合信群力一年定期开放混合(MOM)C,混合型-偏股,CJHXQLYNDQKFHHMOMC,CHUANGJINHEXINQUNLIYINIANDINGQIKAIFANGHUNHEMOMC,
011369,华商均衡成长混合A,混合型-偏股,HSJHCZHHA,HUASHANGJUNHENGCHENGZHANGHUNHEA,
011370,华商均衡成长混合C,混合型-偏股,HSJHCZHHC,HUASHANGJUNHENGCHENGZHANGHUNHEC,
011371,华商远见价值A,混合型-偏股,HSYJJZA,HUASHANGYUANJIANJIAZHIA,
011372,华商远见价值C,混合型-偏股,HSYJJZC,HUASHANGYUANJIANJIAZHIC,
011373,招商前沿医疗保健股票A,股票型,ZSQYYLBJGPA,ZHAOSHANGQIANYANYILIAOBAOJIANGUPIAOA,
011374,招商前沿医疗保健股票C,股票型,ZSQYYLBJGPC,ZHAOSHANGQIANYANYILIAOBAOJIANGUPIAOC,
011376,华宝安享混合A,混合型-偏债,HBAXHHA,HUABAOANXIANGHUNHEA,
011377,创金合信积极成长股票A,股票型,CJHXJJCZGPA,CHUANGJINHEXINJIJICHENGZHANGGUPIAOA,
011378,创金合信积极成长股票C,股票型,CJHXJJCZGPC,CHUANGJINHEXINJIJICHENGZHANGGUPIAOC,
011383,富安达医药创新混合A,混合型-偏股,FADYYCXHHA,FUANDAYIYAOCHUANGXINHUNHEA,
011384,南方远见回报股票A,股票型,NFYJHBGPA,NANFANGYUANJIANHUIBAOGUPIAOA,
011385,南方远见回报股票C,股票型,NFYJHBGPC,NANFANGYUANJIANHUIBAOGUPIAOC,
011387,工银宁瑞6个月持有期混合A,混合型-偏债,GYNR6GYCYQHHA,GONGYINNINGRUI6GEYUECHIYOUQIHUNHEA,
011388,工银宁瑞6个月持有期混合C,混合型-偏债,GYNR6GYCYQHHC,GONGYINNINGRUI6GEYUECHIYOUQIHUNHEC,
011389,国都聚成混合,混合型-偏股,GDJCHH,GUODUJUCHENGHUNHE,
011390,华安添祥6个月持有混合A,混合型-偏债,HATX6GYCYHHA,HUAANTIANXIANG6GEYUECHIYOUHUNHEA,
011391,民生加银新战略混合C,混合型-灵活,MSJYXZLHHC,MINSHENGJIAYINXINZHANLUEHUNHEC,
011392,平安兴鑫回报一年定开混合,混合型-偏股,PAXXHBYNDKHH,PINGANXINGXINHUIBAOYINIANDINGKAIHUNHE,
011393,中欧融益稳健一年混合A,混合型-偏债,ZORYWJYNHHA,ZHONGOURONGYIWENJIANYINIANHUNHEA,
011394,中欧融益稳健一年混合C,混合型-偏债,ZORYWJYNHHC,ZHONGOURONGYIWENJIANYINIANHUNHEC,
011395,博时恒元6个月持有期混合A,混合型-偏债,BSHY6GYCYQHHA,BOSHIHENGYUAN6GEYUECHIYOUQIHUNHEA,
011396,博时恒元6个月持有期混合C,混合型-偏债,BSHY6GYCYQHHC,BOSHIHENGYUAN6GEYUECHIYOUQIHUNHEC,
011399,汇添富数字未来混合A,混合型-偏股,HTFSZWLHHA,HUITIANFUSHUZIWEILAIHUNHEA,
011400,汇添富数字未来混合C,混合型-偏股,HTFSZWLHHC,HUITIANFUSHUZIWEILAIHUNHEC,
011401,汇添富成长精选混合A,混合型-偏股,HTFCZJXHHA,HUITIANFUCHENGZHANGJINGXUANHUNHEA,
011402,汇添富成长精选混合C,混合型-偏股,HTFCZJXHHC,HUITIANFUCHENGZHANGJINGXUANHUNHEC,
011403,融通鑫新成长混合A,混合型-偏股,RTXXCZHHA,RONGTONGXINXINCHENGZHANGHUNHEA,
011404,融通鑫新成长混合C,混合型-偏股,RTXXCZHHC,RONGTONGXINXINCHENGZHANGHUNHEC,
011405,银华稳健增长一年持有期混合,混合型-偏股,YHWJZZYNCYQHH,YINHUAWENJIANZENGZHANGYINIANCHIYOUQIHUNHE,
011408,天弘益新混合A,混合型-偏债,THYXHHA,TIANHONGYIXINHUNHEA,
011409,天弘益新混合C,混合型-偏债,THYXHHC,TIANHONGYIXINHUNHEC,
011410,中信建投量化进取A,混合型-偏股,ZXJTLHJQA,ZHONGXINJIANTOULIANGHUAJINQUA,
011411,中信建投量化进取C,混合型-偏股,ZXJTLHJQC,ZHONGXINJIANTOULIANGHUAJINQUC,
011412,易方达远见成长混合C,混合型-偏股,YFDYJCZHHC,YIFANGDAYUANJIANCHENGZHANGHUNHEC,
011413,富国安益货币B,货币型-普通货币,FGAYHBB,FUGUOANYIHUOBIB,
011414,鹏华宁华一年持有期混合A,混合型-偏债,PHNHYNCYQHHA,PENGHUANINGHUAYINIANCHIYOUQIHUNHEA,
011415,鹏华宁华一年持有期混合C,混合型-偏债,PHNHYNCYQHHC,PENGHUANINGHUAYINIANCHIYOUQIHUNHEC,
011416,恒越嘉鑫债券A,债券型-混合二级,HYJXZQA,HENGYUEJIAXINZHAIQUANA,
011417,恒越嘉鑫债券C,债券型-混合二级,HYJXZQC,HENGYUEJIAXINZHAIQUANC,
011418,汇添富消费精选两年持有股票A,股票型,HTFXFJXLNCYGPA,HUITIANFUXIAOFEIJINGXUANLIANGNIANCHIYOUGUPIAOA,
011419,汇添富消费精选两年持有股票C,股票型,HTFXFJXLNCYGPC,HUITIANFUXIAOFEIJINGXUANLIANGNIANCHIYOUGUPIAOC,
011420,广发全球科技三个月定开混合(QDII)人民币A,QDII-混合偏股,GFQQKJSGYDKHHQDIIRMBA,GUANGFAQUANQIUKEJISANGEYUEDINGKAIHUNHEQDIIRENMINBIA,Y
011421,广发全球科技三个月定开混合(QDII)美元A,QDII-混合偏股,GFQQKJSGYDKHHQDIIMYA,GUANGFAQUANQIUKEJISANGEYUEDINGKAIHUNHEQDIIMEIYUANA,Y
011422,广发全球科技三个月定开混合(QDII)人民币C,QDII-混合偏股,GFQQKJSGYDKHHQDIIRMBC,GUANGFAQUANQIUKEJISANGEYUEDINGKAIHUNHEQDIIRENMINBIC,Y
011423,广发全球科技三个月定开混合(QDII)美元C,QDII-混合偏股,GFQQKJSGYDKHHQDIIMYC,GUANGFAQUANQIUKEJISANGEYUEDINGKAIHUNHEQDIIMEIYUANC,Y
011424,汇添富外延增长股票C,股票型,HTFWYZZGPC,HUITIANFUWAIYANZENGZHANGGUPIAOC,
011425,广发优势成长股票A,股票型,GFYSCZGPA,GUANGFAYOUSHICHENGZHANGGUPIAOA,
011426,广发优势成长股票C,股票型,GFYSCZGPC,GUANGFAYOUSHICHENGZHANGGUPIAOC,
011427,广发价值驱动混合A,混合型-偏股,GFJZQDHHA,GUANGFAJIAZHIQUDONGHUNHEA,
011428,广发价值驱动混合C,混合型-偏股,GFJZQDHHC,GUANGFAJIAZHIQUDONGHUNHEC,
011429,前海开源民裕进取,混合型-偏股,QHKYMYJQ,QIANHAIKAIYUANMINYUJINQU,
011430,广发估值优势混合C,混合型-偏股,GFGZYSHHC,GUANGFAGUZHIYOUSHIHUNHEC,
